booking_id,user_id,show_id,booking_datetime,total_cost
1,1,14,2025-03-09 22:01:57,465.47
2,2,3,2025-02-27 16:32:11,709.3
3,2,2,2025-02-23 19:56:20,803.27
4,2,4,2025-02-23 07:18:51,910.37
5,3,3,2025-02-22 19:37:49,418.74
6,3,3,2025-03-05 02:14:50,794.77
7,4,4,2025-03-02 22:46:30,269.78
8,4,16,2025-03-05 11:12:58,130.5
9,4,3,2025-03-02 14:05:41,400.39
10,4,10,2025-03-08 21:09:29,115.61
11,5,3,2025-03-11 15:25:22,185.06
12,5,15,2025-02-19 02:39:06,374.75
13,5,6,2025-03-03 23:44:30,880.91
14,6,10,2025-02-15 01:53:26,904.0
15,6,4,2025-03-04 04:24:23,304.34
16,7,11,2025-03-10 23:39:14,662.79
17,7,5,2025-02-14 09:35:32,953.46
18,8,12,2025-03-07 05:38:48,671.11
19,8,1,2025-02-17 09:04:13,870.01
20,8,2,2025-02-16 18:15:19,966.69
21,9,3,2025-02-15 14:49:37,483.91
22,9,4,2025-03-05 16:27:51,667.41
23,9,15,2025-03-07 15:32:59,231.73
24,10,8,2025-02-27 03:32:13,351.89
25,10,8,2025-03-06 14:50:40,135.58
26,10,4,2025-02-13 21:21:04,864.99
27,10,6,2025-03-03 17:49:26,775.68
28,10,7,2025-02-21 07:57:51,554.09
29,11,10,2025-02-12 18:36:51,199.72
30,11,6,2025-03-09 15:01:33,136.83
31,11,9,2025-03-12 10:20:21,858.26
32,11,4,2025-03-07 23:33:15,324.85
33,11,12,2025-03-07 12:13:38,808.28
34,12,5,2025-02-14 00:17:41,263.74
35,12,2,2025-02-11 07:37:17,121.01
36,12,2,2025-02-22 00:44:24,207.96
37,12,3,2025-02-10 13:12:23,542.03
38,12,5,2025-03-10 12:43:48,771.95
39,13,1,2025-03-05 04:27:37,330.75
40,13,5,2025-03-06 00:55:18,242.67
41,14,14,2025-03-04 06:57:24,553.88
42,14,4,2025-03-03 15:30:44,447.62
43,15,16,2025-03-08 21:17:23,643.16
44,16,15,2025-02-20 09:37:53,170.81
45,17,14,2025-03-10 21:50:28,401.62
46,18,8,2025-02-25 22:14:07,346.65
47,18,14,2025-03-01 13:34:51,972.94
48,19,14,2025-02-15 06:17:59,810.36
49,19,13,2025-02-16 18:08:34,775.25
50,19,4,2025-02-17 07:58:19,769.24
51,19,2,2025-02-18 20:22:42,997.03
52,20,13,2025-03-10 01:07:58,860.21
53,20,3,2025-02-24 11:52:07,922.88
54,20,13,2025-03-07 20:40:38,350.47
55,20,4,2025-02-27 10:25:51,411.89
56,20,6,2025-03-02 19:28:52,201.64
57,21,3,2025-02-13 23:54:27,442.18
58,21,14,2025-02-17 06:42:20,198.0
59,21,2,2025-02-17 23:53:11,750.66
60,21,5,2025-02-20 10:13:19,651.07
61,22,9,2025-02-25 01:03:05,415.37
62,23,9,2025-02-25 06:15:57,217.78
63,24,7,2025-02-20 21:18:51,922.56
64,24,5,2025-02-27 14:02:38,167.87
65,24,4,2025-02-16 03:56:53,139.0
66,25,5,2025-02-21 04:29:57,890.67
67,25,14,2025-03-01 08:37:34,742.84
68,25,8,2025-02-25 22:54:29,949.72
69,25,13,2025-03-08 19:18:29,465.96
70,25,11,2025-02-28 01:00:30,163.34
71,26,10,2025-02-22 04:57:19,958.21
72,26,11,2025-02-13 22:43:32,441.71
73,26,12,2025-02-21 05:17:44,532.64
74,27,12,2025-03-10 03:33:47,236.59
75,27,4,2025-02-22 13:23:19,496.9
76,27,15,2025-03-10 16:55:54,308.2
77,27,8,2025-03-09 12:22:30,837.96
78,27,5,2025-02-10 15:26:33,829.95
79,28,5,2025-02-25 14:11:38,765.2
80,28,15,2025-02-16 04:13:30,309.99
