size_id,item_id,size_name,rate
1,1,Small,11.51
2,1,Medium,7.73
3,1,Large,9.97
4,2,Small,13.38
5,2,Medium,14.74
6,2,Large,6.59
7,3,Small,15.71
8,3,Medium,9.21
9,3,Large,13.91
10,4,Small,6.89
11,4,Medium,11.15
12,4,Large,19.06
13,5,Small,9.31
14,5,Medium,18.78
15,5,Large,12.81
16,6,Small,18.54
17,6,Medium,14.18
18,6,Large,15.32
19,7,Small,7.02
20,7,Medium,12.01
21,7,Large,13.85
22,8,Small,15.06
23,8,Medium,16.36
24,8,Large,16.24
25,9,Small,18.6
26,9,Medium,14.89
27,9,Large,10.83
28,10,Small,10.9
29,10,Medium,12.51
30,10,Large,9.99
31,11,Small,12.13
32,11,Medium,11.34
33,11,Large,15.68
34,12,Small,18.33
35,12,Medium,13.89
36,12,Large,10.05
37,13,Small,15.82
38,13,Medium,19.05
39,13,Large,9.68
40,14,Small,6.75
41,14,Medium,5.25
42,14,Large,13.7
43,15,Small,11.91
44,15,Medium,8.36
45,15,Large,19.74
46,16,Small,18.68
47,16,Medium,13.21
48,16,Large,13.18
49,17,Small,14.69
50,17,Medium,15.34
51,17,Large,5.51
52,18,Small,5.28
53,18,Medium,9.01
54,18,Large,9.04
55,19,Small,12.34
56,19,Medium,9.11
57,19,Large,9.39
58,20,Small,19.27
59,20,Medium,6.03
60,20,Large,12.23
