order_id,booking_id,screen_id,seat_id,order_datetime,total_cost,delivery_method
1,1,2,508,11-03-2025 04:20,33.94,Counter
2,2,3,729,05-03-2025 15:45,25.64,Seat
3,2,1,577,04-03-2025 18:50,18.81,Counter
4,3,4,709,26-02-2025 18:28,34.02,Counter
5,4,1,619,25-02-2025 08:01,36.21,Counter
6,4,1,333,01-03-2025 07:34,17.94,Counter
7,4,3,811,10-03-2025 06:49,32.54,Seat
8,5,2,236,27-02-2025 09:00,32.38,Seat
9,7,4,806,09-03-2025 15:45,48.02,Seat
10,7,4,775,04-03-2025 10:53,46.42,Seat
11,7,1,65,05-03-2025 15:20,16.96,Counter
12,8,1,683,07-03-2025 02:07,46.72,Seat
13,8,4,700,05-03-2025 20:10,41.72,Seat
14,8,4,617,08-03-2025 02:08,16.65,Counter
15,9,3,361,05-03-2025 11:09,15.26,Counter
16,9,2,476,09-03-2025 03:29,36.54,Counter
17,12,1,127,07-03-2025 05:47,39.64,Counter
18,12,2,294,24-02-2025 14:12,13.22,Counter
19,12,4,494,19-02-2025 06:31,24.38,Counter
20,13,2,169,04-03-2025 03:41,10.15,Seat
21,13,2,368,12-03-2025 07:10,17.6,Counter
22,14,1,427,25-02-2025 11:44,39.47,Seat
23,14,4,723,11-03-2025 03:39,39.79,Counter
24,14,3,751,03-03-2025 04:46,18.78,Counter
25,16,4,507,11-03-2025 07:13,21.44,Seat
26,18,3,220,08-03-2025 22:35,21.06,Counter
27,18,3,214,10-03-2025 06:26,23.35,Seat
28,19,4,672,20-02-2025 07:17,24.76,Counter
29,19,1,214,23-02-2025 06:36,31.13,Counter
30,19,3,125,20-02-2025 16:16,45.51,Counter
31,20,3,27,20-02-2025 13:34,25.06,Seat
32,20,4,43,22-02-2025 08:38,43.36,Seat
33,20,3,728,05-03-2025 20:43,49.85,Counter
34,21,3,142,07-03-2025 12:15,21.56,Seat
35,22,4,685,06-03-2025 06:40,18.35,Seat
36,22,4,209,10-03-2025 18:12,23.67,Counter
37,22,3,548,10-03-2025 08:05,25.63,Counter
38,23,4,275,10-03-2025 04:11,18.86,Seat
39,25,4,346,10-03-2025 19:11,38.73,Seat
40,25,4,334,07-03-2025 08:03,29.87,Seat
41,25,4,233,08-03-2025 00:11,19.28,Seat
42,27,1,714,09-03-2025 07:26,33.11,Seat
43,28,3,505,12-03-2025 02:04,40.19,Counter
44,28,4,142,02-03-2025 07:22,36.54,Seat
45,28,1,231,11-03-2025 10:07,26.05,Counter
46,30,4,804,10-03-2025 08:31,24.57,Seat
47,31,2,401,12-03-2025 11:48,33.76,Seat
48,31,4,80,12-03-2025 11:54,17.43,Counter
49,31,1,396,12-03-2025 12:09,43.05,Seat
50,32,4,58,11-03-2025 02:33,30.91,Counter
51,34,2,790,24-02-2025 21:35,38.96,Counter
52,36,4,558,27-02-2025 16:39,47.66,Seat
53,36,3,475,09-03-2025 20:14,34.12,Counter
54,37,2,218,25-02-2025 07:20,15.98,Seat
55,38,4,375,11-03-2025 19:45,38.79,Counter
56,38,3,130,12-03-2025 12:21,40.34,Counter
57,39,4,246,12-03-2025 03:43,17.22,Seat
58,39,1,587,07-03-2025 22:47,20.02,Counter
59,39,2,639,07-03-2025 16:36,43.59,Counter
60,40,1,676,11-03-2025 13:54,38.72,Seat
61,40,2,361,08-03-2025 23:38,38.17,Counter
62,43,3,757,09-03-2025 16:54,45.11,Counter
63,43,3,653,11-03-2025 17:59,13.98,Counter
64,43,2,317,09-03-2025 04:24,35.28,Counter
65,44,2,12,03-03-2025 02:40,31.79,Counter
66,45,4,775,11-03-2025 03:17,14.04,Seat
67,45,1,140,12-03-2025 06:01,11.95,Counter
68,46,4,345,05-03-2025 23:44,45.19,Seat
69,46,4,574,27-02-2025 08:52,35.3,Seat
70,46,3,43,12-03-2025 08:04,47.22,Counter
71,47,4,268,04-03-2025 06:40,36.03,Counter
72,47,3,699,09-03-2025 12:58,46.02,Counter
73,47,3,550,04-03-2025 11:10,24.87,Seat
74,48,3,324,22-02-2025 15:46,32.44,Counter
75,48,4,501,24-02-2025 12:29,19.36,Counter
76,49,1,60,19-02-2025 12:26,36.11,Counter
77,49,1,122,22-02-2025 15:01,36.76,Seat
78,51,2,211,26-02-2025 15:21,35.12,Counter
