order_item_id,order_id,item_id,size_id,quantity,price_at_time
1,1,18,53,1,9.01
2,1,4,11,3,11.15
3,1,13,38,1,19.05
4,2,19,55,1,12.34
5,3,19,56,2,9.11
6,4,19,55,2,12.34
7,4,6,17,2,14.18
8,5,5,14,1,18.78
9,5,12,35,3,13.89
10,6,8,24,2,16.24
11,6,6,16,3,18.54
12,6,13,37,1,15.82
13,7,10,28,1,10.9
14,7,9,26,1,14.89
15,8,16,47,2,13.21
16,8,17,51,2,5.51
17,8,8,22,3,15.06
18,9,14,41,3,5.25
19,9,2,5,2,14.74
20,9,19,57,2,9.39
21,10,4,12,1,19.06
22,10,19,57,1,9.39
23,11,10,28,1,10.9
24,11,1,2,3,7.73
25,11,2,6,3,6.59
26,12,17,51,1,5.51
27,12,10,30,3,9.99
28,12,6,17,2,14.18
29,13,14,42,2,13.7
30,13,17,50,1,15.34
31,13,1,1,2,11.51
32,14,2,4,1,13.38
33,14,9,25,1,18.6
34,15,20,59,2,6.03
35,15,7,21,1,13.85
36,16,2,5,2,14.74
37,16,3,8,3,9.21
38,17,9,27,2,10.83
39,17,2,4,2,13.38
40,18,20,59,3,6.03
41,19,11,31,2,12.13
42,19,16,46,1,18.68
43,20,5,13,3,9.31
44,21,16,47,2,13.21
45,22,2,5,3,14.74
46,23,8,22,1,15.06
47,24,8,23,1,16.36
48,24,11,32,1,11.34
49,24,20,59,1,6.03
50,25,13,37,1,15.82
51,25,4,10,2,6.89
52,26,12,34,1,18.33
53,27,18,54,2,9.04
54,27,17,51,3,5.51
55,28,14,42,2,13.7
56,29,4,11,3,11.15
57,30,15,44,2,8.36
58,30,2,4,1,13.38
59,30,5,14,3,18.78
60,31,9,27,2,10.83
61,31,5,15,2,12.81
62,31,1,3,3,9.97
63,32,7,19,2,7.02
64,32,3,8,2,9.21
65,33,16,47,2,13.21
66,33,7,19,3,7.02
67,34,15,45,3,19.74
68,34,11,31,2,12.13
69,34,20,59,3,6.03
70,35,8,23,2,16.36
