transaction_id,user_id,amount,points_earned,transaction_datetime,transaction_type
1,1,32.54,32,2024-05-26 02:04:55,Purchase
2,1,50.7,50,2025-01-09 19:07:13,Purchase
3,1,77.49,77,2024-05-19 19:29:40,Purchase
4,1,80.77,80,2025-01-16 07:38:50,Purchase
5,1,29.99,29,2025-02-28 11:32:03,Bonus
6,2,38.01,38,2024-03-26 02:51:52,Purchase
7,2,67.86,67,2024-05-20 12:27:03,Bonus
8,2,66.85,66,2024-10-21 21:28:15,Purchase
9,2,98.73,98,2024-05-13 02:37:46,Purchase
10,2,11.21,11,2024-03-18 03:39:49,Purchase
11,3,70.9,70,2025-01-18 20:49:20,Bonus
12,3,92.94,92,2025-03-10 07:59:46,Purchase
13,3,17.46,17,2024-10-15 14:14:03,Bonus
14,3,91.34,91,2024-07-30 04:14:09,Bonus
15,3,60.62,60,2024-09-28 16:14:12,Bonus
16,4,21.35,21,2024-05-23 10:54:43,Purchase
17,4,59.03,59,2024-09-03 14:14:14,Purchase
18,4,67.74,67,2024-11-02 21:22:56,Purchase
19,4,84.18,84,2024-04-19 13:51:23,Bonus
20,4,77.94,77,2024-10-10 17:58:52,Purchase
21,5,77.05,77,2025-01-29 17:28:48,Purchase
22,5,62.99,62,2024-04-30 01:53:58,Bonus
23,5,49.8,49,2024-07-04 07:28:25,Bonus
24,5,62.5,62,2025-03-07 09:25:39,Purchase
25,5,44.93,44,2024-08-05 21:06:10,Bonus
26,6,91.57,91,2024-06-12 13:04:52,Purchase
27,6,74.9,74,2025-01-24 00:51:15,Purchase
28,6,73.94,73,2024-05-09 13:24:28,Purchase
29,6,30.15,30,2025-01-15 12:34:08,Bonus
30,6,29.55,29,2024-08-13 00:40:54,Purchase
31,7,74.19,74,2024-07-16 16:22:55,Purchase
32,7,18.29,18,2024-11-30 05:06:07,Purchase
33,7,37.3,37,2025-02-03 07:36:32,Bonus
34,7,53.47,53,2025-01-30 07:28:44,Purchase
35,7,67.51,67,2024-06-06 20:14:13,Purchase
36,8,97.76,97,2024-05-05 16:33:18,Bonus
37,8,42.81,42,2024-03-18 17:32:23,Purchase
38,8,62.78,62,2024-07-27 08:36:52,Bonus
39,8,44.75,44,2024-11-02 17:16:52,Purchase
40,8,55.76,55,2025-02-12 23:06:13,Purchase
41,9,36.83,36,2025-02-18 16:49:43,Bonus
42,9,36.9,36,2024-08-25 01:38:05,Bonus
43,9,61.64,61,2024-10-15 00:07:32,Purchase
44,9,23.13,23,2024-08-15 15:27:39,Purchase
45,9,81.91,81,2025-01-31 04:13:00,Purchase
46,10,89.68,89,2024-11-01 05:29:03,Bonus
47,10,78.55,78,2024-04-02 19:40:35,Purchase
48,10,49.42,49,2024-09-17 00:53:45,Purchase
49,10,45.99,45,2025-03-01 04:33:33,Bonus
50,10,29.7,29,2025-02-03 09:18:07,Purchase
51,11,63.63,63,2024-07-11 02:10:10,Purchase
52,11,80.35,80,2024-11-09 03:25:43,Purchase
53,11,74.47,74,2024-03-25 10:44:03,Purchase
54,11,91.59,91,2024-12-29 00:54:00,Purchase
55,11,27.26,27,2024-08-01 23:07:22,Purchase
56,12,98.09,98,2025-01-22 04:41:02,Purchase
57,12,29.32,29,2024-12-22 04:27:02,Bonus
58,12,89.66,89,2024-12-06 01:06:56,Bonus
59,12,63.69,63,2024-10-08 04:53:47,Purchase
60,12,27.02,27,2024-05-22 21:26:07,Bonus
61,13,80.19,80,2024-08-27 10:26:51,Purchase
62,13,96.63,96,2024-05-13 09:48:13,Bonus
63,13,66.41,66,2024-05-02 23:46:42,Purchase
64,13,20.08,20,2024-04-08 21:33:47,Bonus
65,13,38.97,38,2024-07-22 22:04:41,Bonus
66,14,46.9,46,2025-01-20 17:26:48,Bonus
67,14,57.02,57,2025-01-20 12:44:17,Purchase
68,14,89.69,89,2024-05-03 19:04:30,Bonus
69,14,65.9,65,2024-12-21 03:58:36,Bonus
70,14,99.5,99,2024-10-19 03:29:49,Bonus
71,15,61.86,61,2024-08-06 20:17:44,Bonus
72,15,13.56,13,2024-12-03 07:21:17,Bonus
73,15,48.74,48,2024-12-21 15:04:30,Purchase
74,15,18.01,18,2024-10-25 08:51:28,Purchase
75,15,34.3,34,2024-04-29 03:24:53,Purchase
76,16,18.67,18,2024-06-22 19:27:00,Purchase
77,16,54.53,54,2024-08-14 04:23:54,Purchase
78,16,27.31,27,2024-06-15 16:39:47,Purchase
79,16,82.41,82,2025-02-17 12:25:17,Purchase
80,16,45.31,45,2024-03-29 07:52:18,Bonus
81,17,46.01,46,2024-06-18 13:09:32,Purchase
82,17,34.62,34,2024-04-12 07:04:12,Purchase
83,17,83.47,83,2025-01-01 12:27:16,Purchase
84,17,68.93,68,2024-08-18 05:50:53,Purchase
85,17,86.39,86,2024-11-10 00:13:50,Purchase
86,18,49.4,49,2024-05-22 00:58:46,Purchase
87,18,79.14,79,2024-04-19 09:33:44,Bonus
88,18,28.49,28,2025-02-25 03:08:20,Purchase
89,18,85.61,85,2024-06-03 11:45:16,Bonus
90,18,54.58,54,2024-05-31 13:56:03,Bonus
91,19,39.55,39,2024-04-29 16:13:56,Purchase
92,19,30.79,30,2024-04-11 00:55:28,Purchase
93,19,78.12,78,2024-08-15 11:53:06,Bonus
94,19,92.25,92,2024-12-26 20:03:38,Bonus
95,19,77.42,77,2025-02-26 22:16:13,Purchase
96,20,34.83,34,2025-03-10 21:51:27,Bonus
97,20,82.57,82,2024-09-27 00:08:33,Purchase
98,20,15.33,15,2024-07-25 08:39:22,Purchase
99,20,31.44,31,2025-01-25 03:01:55,Bonus
100,20,92.92,92,2024-08-08 06:31:01,Bonus
101,21,14.26,14,2024-06-26 06:25:34,Bonus
102,21,99.29,99,2024-12-27 07:24:33,Bonus
103,21,17.19,17,2025-03-08 20:46:28,Bonus
104,21,64.91,64,2024-05-20 13:54:06,Purchase
105,21,48.16,48,2024-07-20 05:00:10,Purchase
106,22,73.32,73,2024-10-24 02:54:53,Purchase
107,22,89.91,89,2024-05-14 06:04:33,Purchase
108,22,70.25,70,2024-03-27 03:27:57,Bonus
109,22,24.83,24,2024-05-02 02:41:35,Purchase
110,22,77.43,77,2024-04-24 23:42:05,Bonus
111,23,33.08,33,2025-02-23 21:18:30,Purchase
112,23,90.49,90,2024-04-18 17:06:22,Bonus
113,23,15.2,15,2024-05-16 17:29:14,Purchase
114,23,93.42,93,2024-05-24 23:41:35,Bonus
115,23,50.88,50,2024-05-18 09:13:54,Bonus
116,24,34.39,34,2024-07-03 04:06:37,Purchase
117,24,64.22,64,2024-06-18 07:44:13,Bonus
118,24,79.76,79,2024-03-29 12:18:23,Bonus
119,24,69.56,69,2024-05-07 07:00:28,Purchase
120,24,94.54,94,2024-12-28 08:24:25,Purchase
121,25,28.33,28,2024-08-20 16:58:02,Purchase
